Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
103,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
104,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
105,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
106,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
107,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
108,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
109,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
110,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
111,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
112,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
113,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
114,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
115,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
116,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
117,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
118,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
119,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
120,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
121,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
122,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
123,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
124,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
125,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-30,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 2,"ca, 1,500",https://www.cagematch.net/?id=1&nr=177657
126,All Japan Pro Wrestling,"Tokyo, Japan",Zepp Tokyo,2004-12-29,AJPW BAPESTA Pro Wrestling Stage 5 - Tag 1,"ca, 1,100",https://www.cagematch.net/?id=1&nr=177656
