Unnamed: 0,Promotion,Location,Venue,Show Date,Show Name,Attendance,Cagematch URL
129,New Japan Pro Wrestling,"Nagoya, Aichi, Japan",Nagoya International Conference Hall Event Hall,2023-05-14,NJPW Best Of The Super Junior 30 - Tag 3,"1,599",https://www.cagematch.net/?id=1&nr=363712
130,New Japan Pro Wrestling,"Saku, Nagano, Japan",Nagano Prefectural Budokan,2023-05-13,NJPW Best Of The Super Junior 30 - Tag 2,702,https://www.cagematch.net/?id=1&nr=363709
131,New Japan Pro Wrestling,"Tokyo, Japan",Korakuen Hall,2023-05-12,NJPW Best Of The Super Junior 30 - Tag 1,"1,401",https://www.cagematch.net/?id=1&nr=363708
132,New Japan Pro Wrestling,"Fukuoka, Japan",Fukuoka International Center,2023-05-03,NJPW Wrestling Dontaku 2023,"4,489",https://www.cagematch.net/?id=1&nr=362544
133,New Japan Pro Wrestling,"Beppu, Oita, Japan",Beppu B-Con Plaza,2023-05-01,NJPW Road To Wrestling Dontaku 2023 - Tag 8,"1,006",https://www.cagematch.net/?id=1&nr=362542
134,New Japan Pro Wrestling,"Sakura, Chiba, Japan",Sakura Civic Gymnasium,2023-06-18,NJPW New Japan Road 2023 - Tag 7: Yuji Nagata Produce Blue Justice XII ~ Blue Justice Return,"1,716",https://www.cagematch.net/?id=1&nr=364841
135,New Japan Pro Wrestling,"Hachioji, Tokyo, Japan",Esforta Arena Hachioji,2023-06-17,NJPW New Japan Road 2023 - Tag 6,"1,565",https://www.cagematch.net/?id=1&nr=364840
136,New Japan Pro Wrestling,"Numazu, Shizuoka, Japan",Kira Messe Numazu,2023-06-16,NJPW New Japan Road 2023 - Tag 5,707,https://www.cagematch.net/?id=1&nr=364839
137,New Japan Pro Wrestling,"Kuki, Saitama, Japan",Kuki City Gymnasium,2023-06-14,NJPW New Japan Road 2023 - Tag 4,629,https://www.cagematch.net/?id=1&nr=364838
138,New Japan Pro Wrestling,"Shirakawa, Fukushima, Japan",Shirakawa City Central Gymnasium,2023-06-13,NJPW New Japan Road 2023 - Tag 3,523,https://www.cagematch.net/?id=1&nr=364837
